timesteps,episode_steps,mean_cgm,mean_action,mean_insulin,mean_proposed_insulin,mean_shielded_insulin,total_insulin,total_proposed_insulin,total_shielded_insulin,mean_iob,pct_tir_70_180,pct_above_250,pct_below_70,pct_shield_active,shield_count,total_reward,mean_reward
100000,244,209.76614379882812,-0.9959871768951416,0.0017183125019073486,0.0017183125019073486,0.0017183125019073486,0.41926825046539307,0.41926825046539307,0.41926825046539307,0.08494666963815689,47.13114754098361,30.737704918032787,0.0,0.0,0,159.06211853027344,0.6518939137458801
200000,254,230.37890625,-0.9907552599906921,0.001937043503858149,0.001937043503858149,0.001937043503858149,0.4920090436935425,0.4920090436935425,0.4920090436935425,0.10198510438203812,44.881889763779526,38.188976377952756,0.0,0.0,0,157.01727294921875,0.6181782484054565
300000,274,237.45147705078125,-1.0,0.0016773130046203732,0.0016773130046203732,0.0016773130046203732,0.45958375930786133,0.45958375930786133,0.45958375930786133,0.06336549669504166,39.78102189781022,41.97080291970803,0.0,0.0,0,160.60797119140625,0.5861604809761047
400000,261,224.92532348632812,-0.9988067746162415,0.0016918812179937959,0.0016918812179937959,0.0016918812179937959,0.44158101081848145,0.44158101081848145,0.44158101081848145,0.07655275613069534,51.34099616858238,38.31417624521073,0.0,0.0,0,169.8626251220703,0.6508146524429321
500000,480,209.64657592773438,-0.9450730085372925,0.025225171819329262,0.025225171819329262,0.025225171819329262,12.10808277130127,12.10808277130127,12.10808277130127,0.4945385754108429,36.041666666666664,25.624999999999996,0.0,0.0,0,286.28125,0.5964192748069763
600000,480,177.4518280029297,-0.9744916558265686,0.034702327102422714,0.034702327102422714,0.034702327102422714,16.65711784362793,16.65711784362793,16.65711784362793,0.6880321502685547,55.00000000000001,0.20833333333333334,0.0,0.0,0,346.0948181152344,0.7210308909416199
700000,480,145.21932983398438,-0.9856252074241638,0.032937128096818924,0.032937128096818924,0.032937128096818924,15.809821128845215,15.809821128845215,15.809821128845215,0.6465740203857422,78.75,0.0,6.041666666666667,0.0,0,404.04315185546875,0.8417565822601318
800000,480,187.95875549316406,-0.9867496490478516,0.032927218824625015,0.032927218824625015,0.032927218824625015,15.805065155029297,15.805065155029297,15.805065155029297,0.6417735815048218,38.75,0.8333333333333334,0.0,0.0,0,303.9736328125,0.6332784295082092
900000,480,174.38111877441406,-0.9700917601585388,0.03396870568394661,0.03396870568394661,0.03396870568394661,16.30497932434082,16.30497932434082,16.30497932434082,0.6630184650421143,62.916666666666664,0.0,0.0,0.0,0,365.3565979003906,0.7611595988273621
1000000,452,157.16622924804688,-0.9183521270751953,0.03601720556616783,0.03601720556616783,0.03601720556616783,16.27977752685547,16.27977752685547,16.27977752685547,0.6990690231323242,55.309734513274336,2.6548672566371683,9.513274336283185,0.0,0,323.87359619140625,0.7165344953536987
1100000,480,162.42405700683594,-0.7357997298240662,0.037554241716861725,0.037554241716861725,0.037554241716861725,18.02603530883789,18.02603530883789,18.02603530883789,0.7009595036506653,73.75,0.0,0.0,0.0,0,396.35882568359375,0.825747549533844
1200000,480,162.2718963623047,-0.8162845373153687,0.04716573655605316,0.04716573655605316,0.04716573655605316,22.63955307006836,22.63955307006836,22.63955307006836,0.915594220161438,73.95833333333334,2.2916666666666665,1.875,0.0,0,394.8395690917969,0.8225824236869812
1300000,480,161.30010986328125,-0.7413201928138733,0.0465107224881649,0.0465107224881649,0.0465107224881649,22.32514762878418,22.32514762878418,22.32514762878418,0.8824539184570312,74.375,0.0,0.0,0.0,0,396.71923828125,0.8264983892440796
1400000,480,160.06497192382812,-0.7807968258857727,0.026378463953733444,0.026378463953733444,0.026378463953733444,12.661663055419922,12.661663055419922,12.661663055419922,0.526313066482544,72.91666666666666,8.333333333333332,0.0,0.0,0,394.9309387207031,0.8227728009223938
1500000,480,165.5042266845703,-0.6991088390350342,0.04069404676556587,0.04069404676556587,0.04069404676556587,19.53314208984375,19.53314208984375,19.53314208984375,0.7937644124031067,75.20833333333333,0.0,0.0,0.0,0,398.2252502441406,0.8296359181404114
1600000,480,155.8752899169922,-0.8125764727592468,0.04063861072063446,0.04063861072063446,0.04063861072063446,19.506532669067383,19.506532669067383,19.506532669067383,0.7858536243438721,77.29166666666667,5.0,0.0,0.0,0,407.2843017578125,0.8485089540481567
1700000,480,150.45726013183594,-0.8175405859947205,0.04285791143774986,0.04285791143774986,0.04285791143774986,20.57179832458496,20.57179832458496,20.57179832458496,0.8313961029052734,92.29166666666667,0.0,0.0,0.0,0,443.9130859375,0.9248189330101013
1800000,480,153.06201171875,-0.7171964049339294,0.04518916457891464,0.04518916457891464,0.04518916457891464,21.690799713134766,21.690799713134766,21.690799713134766,0.8660259246826172,87.70833333333333,0.0,0.0,0.0,0,433.3963928222656,0.9029091596603394
1900000,480,162.68373107910156,-0.5604994297027588,0.0435434952378273,0.0435434952378273,0.0435434952378273,20.900876998901367,20.900876998901367,20.900876998901367,0.8263319730758667,82.70833333333333,0.0,0.0,0.0,0,416.38421630859375,0.8674671053886414
2000000,377,141.8050537109375,-0.770540177822113,0.04182671755552292,0.04182671755552292,0.04182671755552292,15.768672943115234,15.768672943115234,15.768672943115234,0.8124415278434753,79.57559681697613,0.0,6.896551724137931,0.0,0,315.40814208984375,0.8366263508796692
2100000,480,137.41506958007812,-0.7219898104667664,0.029978327453136444,0.029978327453136444,0.029978327453136444,14.389596939086914,14.389596939086914,14.389596939086914,0.5981650948524475,91.25,0.0,0.0,0.0,0,443.6181640625,0.9242045283317566
2200000,480,152.30116271972656,-0.6717045903205872,0.029319847002625465,0.029319847002625465,0.029319847002625465,14.073526382446289,14.073526382446289,14.073526382446289,0.5797702670097351,83.125,0.0,0.0,0.0,0,422.6303405761719,0.8804798722267151
2300000,480,142.79922485351562,-0.7731724977493286,0.04385633021593094,0.04385633021593094,0.04385633021593094,21.05103874206543,21.05103874206543,21.05103874206543,0.8413012027740479,72.29166666666667,0.0,6.875000000000001,0.0,0,393.45672607421875,0.8197014927864075
2400000,480,160.31459045410156,-0.6292387247085571,0.04935059696435928,0.04935059696435928,0.04935059696435928,23.68828582763672,23.68828582763672,23.68828582763672,0.9430341720581055,71.66666666666667,0.0,0.0,0.0,0,393.4290771484375,0.8196439146995544
2500000,480,150.08685302734375,-0.6533926725387573,0.045682646334171295,0.045682646334171295,0.045682646334171295,21.927669525146484,21.927669525146484,21.927669525146484,0.8771317601203918,83.95833333333333,0.0,0.0,0.0,0,424.78558349609375,0.88496994972229
2600000,480,160.1344757080078,-0.5405985116958618,0.04753502830862999,0.04753502830862999,0.04753502830862999,22.816814422607422,22.816814422607422,22.816814422607422,0.8977582454681396,76.04166666666666,0.0,0.0,0.0,0,403.5919189453125,0.8408164978027344
2700000,480,146.18600463867188,-0.6877685785293579,0.0448797382414341,0.0448797382414341,0.0448797382414341,21.542274475097656,21.542274475097656,21.542274475097656,0.8569470643997192,93.54166666666667,0.0,0.0,0.0,0,450.73095703125,0.9390228390693665
2800000,480,151.20947265625,-0.6168109178543091,0.047122400254011154,0.047122400254011154,0.047122400254011154,22.618751525878906,22.618751525878906,22.618751525878906,0.900549054145813,83.125,0.0,0.0,0.0,0,423.9691162109375,0.8832690119743347
2900000,480,149.96234130859375,-0.6311110854148865,0.046854354441165924,0.046854354441165924,0.046854354441165924,22.490089416503906,22.490089416503906,22.490089416503906,0.9027411341667175,89.58333333333334,0.0,0.0,0.0,0,437.92254638671875,0.9123386144638062
3000000,348,135.40977478027344,-0.7050772309303284,0.05016307905316353,0.05016307905316353,0.05016307905316353,17.456750869750977,17.456750869750977,17.456750869750977,0.9836444854736328,88.79310344827587,0.0,3.4482758620689653,0.0,0,316.1551513671875,0.9084917902946472
3100000,480,135.18243408203125,-0.7771128416061401,0.03241264820098877,0.03241264820098877,0.03241264820098877,15.55807113647461,15.55807113647461,15.55807113647461,0.637122392654419,92.08333333333333,1.4583333333333333,0.0,0.0,0,449.4118957519531,0.9362747669219971
3200000,480,144.02169799804688,-0.6914999485015869,0.04676647111773491,0.04676647111773491,0.04676647111773491,22.447906494140625,22.447906494140625,22.447906494140625,0.8998609781265259,96.66666666666667,0.0,0.0,0.0,0,457.9045715332031,0.9539678692817688
3300000,480,140.74403381347656,-0.6644771695137024,0.04425701126456261,0.04425701126456261,0.04425701126456261,21.243366241455078,21.243366241455078,21.243366241455078,0.8518879413604736,85.41666666666666,0.0,2.2916666666666665,0.0,0,430.46484375,0.896801769733429
3400000,480,141.9805450439453,-0.5346513390541077,0.042566992342472076,0.042566992342472076,0.042566992342472076,20.43215560913086,20.43215560913086,20.43215560913086,0.7871996760368347,83.95833333333333,0.0,4.166666666666666,0.0,0,425.60699462890625,0.8866812586784363
3500000,480,142.06886291503906,-0.6793140172958374,0.0539727658033371,0.0539727658033371,0.0539727658033371,25.90692710876465,25.90692710876465,25.90692710876465,1.0371617078781128,86.04166666666667,0.0,3.5416666666666665,0.0,0,431.047119140625,0.8980148434638977
3600000,480,138.4921417236328,-0.8128772974014282,0.04928721487522125,0.04928721487522125,0.04928721487522125,23.65786361694336,23.65786361694336,23.65786361694336,0.9406415820121765,88.95833333333333,0.0,0.0,0.0,0,441.77532958984375,0.9203652739524841
3700000,480,144.49575805664062,-0.6601965427398682,0.044340576976537704,0.044340576976537704,0.044340576976537704,21.283477783203125,21.283477783203125,21.283477783203125,0.8479406237602234,88.95833333333333,0.0,0.8333333333333334,0.0,0,438.68048095703125,0.9139176607131958
3800000,480,147.568359375,-0.5948489904403687,0.040507182478904724,0.040507182478904724,0.040507182478904724,19.44344711303711,19.44344711303711,19.44344711303711,0.7619341611862183,88.54166666666666,0.0,0.0,0.0,0,437.24755859375,0.9109324216842651
3900000,480,139.58392333984375,-0.7354773283004761,0.05377347022294998,0.05377347022294998,0.05377347022294998,25.81126594543457,25.81126594543457,25.81126594543457,1.0400677919387817,87.91666666666667,0.0,0.8333333333333334,0.0,0,439.892333984375,0.916442334651947
4000000,480,143.24212646484375,-0.6220017671585083,0.046612758189439774,0.046612758189439774,0.046612758189439774,22.37412452697754,22.37412452697754,22.37412452697754,0.890041708946228,89.58333333333334,0.0,0.0,0.0,0,442.1966552734375,0.9212430119514465
