episode,timestep,reward,episode_length
0,49,39.196311950683594,49
1,94,36.846839904785156,45
2,139,35.898094177246094,45
3,184,38.739681243896484,45
4,229,37.46075439453125,45
5,283,44.394142150878906,54
6,333,35.91834259033203,50
7,386,46.93671798706055,53
8,439,40.601497650146484,53
9,499,50.449249267578125,60
10,542,34.338600158691406,43
11,592,40.62635803222656,50
12,632,33.29983901977539,40
13,677,38.76721954345703,45
14,722,36.0070915222168,45
15,765,36.640262603759766,43
16,810,39.835758209228516,45
17,845,29.552776336669922,35
18,898,49.049354553222656,53
19,947,43.519569396972656,49
20,992,39.19670486450195,45
21,1037,39.34060287475586,45
22,1076,31.399513244628906,39
23,1124,39.64128494262695,48
24,1170,38.150856018066406,46
25,1217,33.92082595825195,47
26,1267,43.80533981323242,50
27,1316,44.954402923583984,49
28,1355,31.653078079223633,39
29,1405,43.19599151611328,50
30,1457,43.91738510131836,52
31,1496,32.67603302001953,39
32,1536,34.00851821899414,40
33,1572,28.365631103515625,36
34,1618,39.62382125854492,46
35,1666,39.14878463745117,48
36,1710,34.36599349975586,44
37,1752,34.929866790771484,42
38,1799,41.15782928466797,47
39,1843,33.15757751464844,44
40,1884,33.0145149230957,41
41,1925,35.09977340698242,41
42,1985,48.01334762573242,60
43,2027,35.57868957519531,42
44,2072,38.5487060546875,45
45,2114,30.947416305541992,42
46,2156,34.96951675415039,42
47,2199,35.41960144042969,43
48,2244,38.459877014160156,45
49,2283,32.66731262207031,39
50,2326,37.042022705078125,43
51,2389,53.937416076660156,63
52,2433,39.24595260620117,44
53,2488,44.138545989990234,55
54,2533,38.8519172668457,45
55,2576,37.80207443237305,43
56,2617,34.70661544799805,41
57,2658,32.38687515258789,41
58,2705,41.91630554199219,47
59,2750,35.95722961425781,45
60,2795,39.689762115478516,45
61,2839,37.01028060913086,44
62,2872,22.060970306396484,33
63,2910,33.18749237060547,38
64,2956,38.618492126464844,46
65,3002,40.5007209777832,46
66,3045,36.14814758300781,43
67,3096,43.80707931518555,51
68,3142,39.05510711669922,46
69,3182,33.27286911010742,40
70,3220,32.456932067871094,38
71,3265,32.500850677490234,45
72,3315,42.57902145385742,50
73,3356,35.752071380615234,41
74,3407,43.95830535888672,51
75,3451,35.05397033691406,44
76,3497,35.59538650512695,46
77,3527,25.71908950805664,30
78,3561,29.6724853515625,34
79,3620,48.6414909362793,59
80,3661,33.75252151489258,41
81,3707,39.24699783325195,46
82,3764,49.079612731933594,57
83,3811,38.94460678100586,47
84,3853,34.03245544433594,42
85,3900,37.201087951660156,47
86,3949,40.365352630615234,49
87,4002,44.95537567138672,53
88,4041,31.59941864013672,39
89,4077,30.07769775390625,36
90,4126,41.048221588134766,49
91,4169,36.51952362060547,43
92,4220,44.821075439453125,51
93,4265,39.32134246826172,45
94,4322,49.21821594238281,57
95,4378,41.1940803527832,56
96,4426,40.194374084472656,48
97,4482,48.094505310058594,56
98,4525,34.0222053527832,43
99,4576,41.27790451049805,51
100,4622,38.97541809082031,46
101,4663,35.01383590698242,41
102,4716,41.81294250488281,53
103,4770,43.737457275390625,54
104,4810,35.08403778076172,40
105,4854,36.03762435913086,44
106,4893,33.56816482543945,39
107,4938,39.331260681152344,45
108,4992,40.469635009765625,54
109,5038,40.23973083496094,46
110,5091,40.436553955078125,53
111,5137,38.88935089111328,46
112,5194,48.83872985839844,57
113,5233,29.32233238220215,39
114,5285,42.10713195800781,52
115,5342,48.19075393676758,57
116,5382,31.08485984802246,40
117,5426,35.9110107421875,44
118,5470,33.985198974609375,44
119,5525,41.207637786865234,55
120,5581,45.30126190185547,56
121,5618,32.29188919067383,37
122,5668,40.97796630859375,50
123,5714,38.01431655883789,46
124,5765,41.48789596557617,51
125,5805,32.627960205078125,40
126,5856,43.34393310546875,51
127,5895,32.52811050415039,39
128,5945,43.4240608215332,50
129,6003,41.06572723388672,58
130,6048,39.62963104248047,45
131,6098,41.23859405517578,50
132,6139,32.8669319152832,41
133,6182,35.347129821777344,43
134,6241,53.36198806762695,59
135,6285,37.088016510009766,44
136,6333,40.739070892333984,48
137,6375,36.58130645751953,42
138,6436,49.533206939697266,61
139,6484,40.551513671875,48
140,6531,38.431209564208984,47
141,6581,37.53504180908203,50
142,6635,44.63650131225586,54
143,6690,46.57437515258789,55
144,6739,36.8846435546875,49
145,6790,43.1375617980957,51
146,6830,35.20763397216797,40
147,6869,31.529518127441406,39
148,6925,49.77970504760742,56
149,6969,39.240787506103516,44
150,7019,44.88462448120117,50
151,7065,35.89894104003906,46
152,7107,35.57666778564453,42
153,7148,34.10842514038086,41
154,7196,37.132469177246094,48
155,7247,44.707557678222656,51
156,7291,37.8564338684082,44
157,7338,36.47785186767578,47
158,7380,34.889522552490234,42
159,7430,42.46358108520508,50
160,7479,41.36787414550781,49
161,7530,42.77812194824219,51
162,7583,39.63999557495117,53
163,7630,40.873897552490234,47
