iteration,mean_reward
0,-10.865287300000002
1,-15.83584935
2,-8.50265345
3,-8.181165199999999
4,-6.92543005
5,-9.186083
6,-8.6708053
7,-9.87773185
8,-10.5514649
9,-8.642055899999999
