iteration,mean_reward
0,-13984.831887440001
1,-8244.07669748
2,-5315.989304000001
3,-13355.941780879999
4,-1717.7351710800003
5,-1423.28557808
6,-388.71713251999995
7,-1321.40208644
8,-402.74519075999996
9,-472.12718092
10,-235.56661567999998
11,-5005.9639375199995
12,-1729.93951048
13,-1151.0627266800002
14,-5677.7498214
15,211.17182644000002
16,-34.47416111999999
17,254.20764476
18,-175.16507472
19,-1751.44716028
20,-1486.63516308
21,-1929.8333172800003
22,-101.08848803999999
23,-420.52690292
24,-321.62878028
25,-977.8535890800002
26,-99.45831740000006
27,-671.9841940400001
28,-1588.1917326
29,-6241.40152828
