number,value,state,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,user_attrs_best_mean_reward,duration,datetime_start,datetime_complete
0,133.59097290039062,COMPLETE,480,0.1380235801723566,0.005,0.9065257209545705,0.981017336582704,0.0004581847683196907,0.7541577978783941,10.0,1920,"256,256",0.5283826989584905,133.59097290039062,0 days 00:24:15.684474,2026-05-28 11:44:44.592019,2026-05-28 12:09:00.276493
1,,PRUNED,320,,,,,,,,1440,,,,0 days 00:00:00.000341,2026-05-28 12:09:00.307513,2026-05-28 12:09:00.307854
2,153.14501953125,COMPLETE,120,0.2606278289493096,0.0,0.977475311558548,0.982883459774433,0.00017712827767212176,0.3717478802626949,5.0,1920,"256,128",0.3728398341822735,153.14501953125,0 days 00:24:21.467598,2026-05-28 12:09:00.314995,2026-05-28 12:33:21.782593
3,117.60643005371094,COMPLETE,240,0.2771304419603587,0.05,0.8877629051534297,0.9816772481411394,0.00011951835479852123,0.42234936838135023,10.0,960,"128,128,64",0.8333820787222119,117.60643005371094,0 days 00:23:45.264059,2026-05-28 12:33:21.986721,2026-05-28 12:57:07.250780
4,394.1942443847656,COMPLETE,480,0.18245080884713621,0.001,0.9566348953094923,0.9878056434371878,0.00414242052459521,0.41522001213505666,10.0,480,"128,128,64",0.3297827927749044,394.1942443847656,0 days 00:28:58.727601,2026-05-28 12:57:07.434902,2026-05-28 13:26:06.162503
5,121.39862060546875,COMPLETE,60,0.16994258803038564,0.005,0.8596343486463168,0.9833757937175752,0.0008695187334521919,0.3185450686099889,5.0,960,"256,128",0.37770286817058973,121.39862060546875,0 days 00:23:11.200225,2026-05-28 13:26:06.341407,2026-05-28 13:49:17.541632
6,114.45980072021484,COMPLETE,160,0.19303225472309493,0.05,0.9092712238422352,0.9987723789661321,0.00010719016953211396,0.9112375442665412,5.0,480,"256,128",0.6633999474788852,114.45980072021484,0 days 00:25:35.258251,2026-05-28 13:49:17.732620,2026-05-28 14:14:52.990871
7,151.71795654296875,COMPLETE,480,0.05261154070497488,0.0,0.9029692691530937,0.9977244012065339,4.3838422943239055e-05,0.7182155053951835,15.0,480,"256,128",0.8498361457798953,151.71795654296875,0 days 00:27:59.356641,2026-05-28 14:14:53.175928,2026-05-28 14:42:52.532569
