number,value,state,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,user_attrs_best_mean_reward,user_attrs_failed_reason,duration,datetime_start,datetime_complete
0,-1000000000000.0,COMPLETE,60,0.2961629394987235,0.1,0.9202331327488857,0.9975905500591417,1.3806531619020589e-05,0.6282196293228871,12,1920,"64,64",0.21763665803223928,,"FileNotFoundError(2, 'No such file or directory')",0 days 00:08:29.277809,2026-05-26 02:55:49.309789,2026-05-26 03:04:18.587598
1,76.38771057128906,COMPLETE,120,0.1981534679264334,0.01,0.963187460645673,0.9851541549421488,1.9858973494725067e-05,0.5754830411562037,8,960,"64,64",0.2531763732409566,76.38771057128906,,0 days 00:27:54.046252,2026-05-26 03:04:18.596834,2026-05-26 03:32:12.643086
2,84.0078125,COMPLETE,160,0.20088543543452875,0.005,0.8575874171726475,0.9833116679050494,0.0003452361603886,0.9039849475987913,12,960,"128,128,64",0.24642125171787532,84.0078125,,0 days 00:26:52.149947,2026-05-26 03:32:12.658091,2026-05-26 03:59:04.808038
3,54.86576461791992,COMPLETE,120,0.2708358644480838,0.01,0.8658449734730642,0.9907192143572198,7.13363089416267e-05,0.6468113975713804,4,960,"256,256",0.8555241455441724,54.86576461791992,,0 days 00:25:53.364303,2026-05-26 03:59:04.844003,2026-05-26 04:24:58.208306
4,83.671630859375,COMPLETE,80,0.28789144997080385,0.01,0.9080827883104456,0.9818688408053817,7.882934335502894e-05,0.5219850378881993,13,1440,"64,64",0.7504680968135478,83.671630859375,,0 days 00:28:00.494928,2026-05-26 04:24:58.218930,2026-05-26 04:52:58.713858
5,12.340486526489258,COMPLETE,320,0.20435666000245872,0.0001,0.863784317578331,0.9808493314221471,5.091683761048529e-05,0.7765682310367652,3,1920,"64,64",0.24728972717034328,12.340486526489258,,0 days 00:31:20.582493,2026-05-26 04:52:58.724477,2026-05-26 05:24:19.306970
6,9.102564811706543,COMPLETE,240,0.09310012268912603,0.0001,0.8599895605880867,0.9950528057432677,1.0804289909781848e-05,0.9261155780893853,10,1920,"64,64",0.8202548177617401,9.102564811706543,,0 days 00:33:42.207165,2026-05-26 05:24:19.313452,2026-05-26 05:58:01.520617
7,69.39117431640625,COMPLETE,480,0.13558446118067802,0.02,0.9001711373970863,0.9883134328695238,0.0002404970534702153,0.6033096388636957,14,960,"128,128",0.4963209049500251,69.39117431640625,,0 days 00:26:16.939020,2026-05-26 05:58:01.527173,2026-05-26 06:24:18.466193
8,58.21455764770508,COMPLETE,480,0.06295649014391576,0.0001,0.9049008230236388,0.9850515304598751,1.1736760703989579e-05,0.6199776194087957,12,1440,"256,256",0.4976281099960268,58.21455764770508,,0 days 00:29:01.586013,2026-05-26 06:24:18.474282,2026-05-26 06:53:20.060295
9,87.77626037597656,COMPLETE,240,0.2844392137158862,0.005,0.8579763500730732,0.9874407292286,0.0001006745997336317,0.34999444387896744,12,480,"256,128",0.503066066715081,87.77626037597656,,0 days 00:26:50.710881,2026-05-26 06:53:20.066926,2026-05-26 07:20:10.777807
10,77.80223083496094,COMPLETE,240,0.29948060551434097,0.001,0.8755084226235454,0.986135200516229,7.896454624165487e-05,0.37290593651856685,8,480,"256,128",0.6492299646365947,77.80223083496094,,0 days 00:26:33.847827,2026-05-26 07:20:10.784549,2026-05-26 07:46:44.632376
11,95.5148696899414,COMPLETE,160,0.18215987719966578,0.005,0.9043392926566357,0.9845488406178654,0.00031927916631710105,0.8244640366180226,14,1920,"128,128,64",0.21973145800493063,95.5148696899414,,0 days 00:28:00.015492,2026-05-26 07:46:44.639963,2026-05-26 08:14:44.655455
12,62.69074630737305,COMPLETE,60,0.23649049084458862,0.005,0.8540770310133522,0.9879156255630347,2.1694636712258532e-05,0.38518391686433917,14,480,"256,128",0.3524185128894253,62.69074630737305,,0 days 00:28:17.030832,2026-05-26 08:14:44.662640,2026-05-26 08:43:01.693472
13,29.705196380615234,PRUNED,160,0.2493975222285668,0.005,0.9397999166904307,0.9820065520564693,0.00019018198679061104,0.540386408251704,15,1920,"128,128,64",0.2550136548735002,,,0 days 00:02:39.777520,2026-05-26 08:43:01.704532,2026-05-26 08:45:41.482052
14,27.197399139404297,PRUNED,240,0.2925446333838819,0.005,0.9189496431436881,0.9912673848769105,0.0004937857921851702,0.4186730043339253,13,480,"256,128",0.4538826802907713,,,0 days 00:02:11.823987,2026-05-26 08:45:41.491003,2026-05-26 08:47:53.314990
