timesteps,episode_steps,mean_cgm,mean_action,mean_insulin,mean_proposed_insulin,mean_shielded_insulin,total_insulin,total_proposed_insulin,total_shielded_insulin,mean_iob,pct_tir_70_180,pct_above_250,pct_below_70,pct_shield_active,shield_count,total_reward,mean_reward
100000,135,223.32347106933594,-1.0,0.0016773128882050514,0.0016773128882050514,0.0016773128882050514,0.22643724083900452,0.22643724083900452,0.22643724083900452,0.10968200117349625,40.0,36.2962962962963,0.0,0.0,0,81.2672348022461,0.6019794940948486
200000,145,226.56668090820312,-0.9906265735626221,0.0017924851272255182,0.0017924851272255182,0.0017924851272255182,0.25991034507751465,0.25991034507751465,0.25991034507751465,0.11834778636693954,37.93103448275862,37.24137931034483,0.0,0.0,0,85.29423522949219,0.5882360935211182
300000,269,266.70562744140625,-0.8764545321464539,0.01639738492667675,0.01639738492667675,0.01639738492667675,4.410896301269531,4.410896301269531,4.410896301269531,0.3053286671638489,21.933085501858738,66.17100371747212,0.0,0.0,0,126.61585235595703,0.47069090604782104
400000,480,233.46572875976562,-0.9059123992919922,0.026846790686249733,0.026846790686249733,0.026846790686249733,12.886459350585938,12.886459350585938,12.886459350585938,0.5337210893630981,15.0,37.916666666666664,0.0,0.0,0,226.37533569335938,0.4716152846813202
500000,480,169.34225463867188,-0.9224483370780945,0.03100046142935753,0.03100046142935753,0.03100046142935753,14.880221366882324,14.880221366882324,14.880221366882324,0.6092175841331482,65.625,6.041666666666667,0.0,0.0,0,374.37994384765625,0.779958188533783
600000,132,168.1023406982422,-0.9549570083618164,0.04819295182824135,0.04819295182824135,0.04819295182824135,6.361469745635986,6.361469745635986,6.361469745635986,0.9197660088539124,46.96969696969697,8.333333333333332,7.575757575757576,0.0,0,87.3828125,0.6619910001754761
700000,480,175.14608764648438,-0.9223112463951111,0.028598308563232422,0.028598308563232422,0.028598308563232422,13.727188110351562,13.727188110351562,13.727188110351562,0.5649986267089844,58.75,4.166666666666666,0.0,0.0,0,355.4805603027344,0.7405844926834106
800000,480,183.3220977783203,-0.7306649684906006,0.03343702852725983,0.03343702852725983,0.03343702852725983,16.049774169921875,16.049774169921875,16.049774169921875,0.6416886448860168,49.791666666666664,5.208333333333334,0.0,0.0,0,332.09326171875,0.6918609738349915
900000,480,151.77682495117188,-0.5780835747718811,0.03907092288136482,0.03907092288136482,0.03907092288136482,18.754043579101562,18.754043579101562,18.754043579101562,0.7590510249137878,86.25,0.0,0.0,0.0,0,429.8767395019531,0.895576536655426
1000000,480,139.4514923095703,-0.5635851621627808,0.03845326974987984,0.03845326974987984,0.03845326974987984,18.457569122314453,18.457569122314453,18.457569122314453,0.7392005920410156,85.20833333333333,0.0,0.0,0.0,0,433.41278076171875,0.9029433131217957
