number,value,state,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,user_attrs_best_mean_reward,user_attrs_failed_reason,duration,datetime_start,datetime_complete
0,-1000000000000.0,COMPLETE,160,0.2855273435222272,0.01,0.8671172135796734,0.9845211451902616,0.00019264949259189284,0.5272646648645382,15,960,"256,256",0.6777670525426284,,"FileNotFoundError(2, 'No such file or directory')",0 days 00:08:20.612143,2026-05-26 02:55:49.442210,2026-05-26 03:04:10.054353
1,79.58797454833984,COMPLETE,160,0.17577790349838962,0.0,0.9258011672575412,0.9986904602160539,0.00046884609064370953,0.7354030279272371,8,1440,"256,256",0.7216630423344834,79.58797454833984,,0 days 00:30:04.191182,2026-05-26 03:04:10.085715,2026-05-26 03:34:14.276897
2,93.13490295410156,COMPLETE,80,0.1800934583438683,0.0001,0.9434091206212963,0.987949648987843,0.00034416719977294145,0.48828982978716884,14,1920,"64,64",0.5483843983181227,93.13490295410156,,0 days 00:31:34.152920,2026-05-26 03:34:14.283351,2026-05-26 04:05:48.436271
3,38.0426139831543,COMPLETE,240,0.06692479410997003,0.1,0.8755617759024723,0.9859143247329115,0.0002980163970472475,0.7559305342364928,8,1920,"64,64",0.43158770104723854,38.0426139831543,,0 days 00:27:59.427165,2026-05-26 04:05:48.443790,2026-05-26 04:33:47.870955
4,29.043895721435547,COMPLETE,120,0.16806070641520826,0.02,0.9401618027966198,0.9994819273941322,9.47119325210023e-05,0.31571648159204346,3,480,"256,128",0.615447500841174,29.043895721435547,,0 days 00:25:42.762993,2026-05-26 04:33:47.878328,2026-05-26 04:59:30.641321
5,38.14277267456055,COMPLETE,240,0.29974913312228213,0.0001,0.9401765881137292,0.9905409024795938,0.0001717197498819005,0.5091280405772105,12,480,"128,128,64",0.8979803960600476,38.14277267456055,,0 days 00:27:26.818135,2026-05-26 04:59:30.679782,2026-05-26 05:26:57.497917
6,46.28634262084961,COMPLETE,120,0.08040131047313002,0.0001,0.925809789863381,0.9801992892891698,5.856150112232253e-05,0.744952955115926,15,1920,"256,256",0.25211914209582886,46.28634262084961,,0 days 00:30:29.237204,2026-05-26 05:26:57.506643,2026-05-26 05:57:26.743847
7,80.03855895996094,COMPLETE,60,0.1615098435251292,0.01,0.862510493812337,0.9988368908132315,0.00024169498377732334,0.5927562113424368,14,480,"256,256",0.4655427105241664,80.03855895996094,,0 days 00:30:30.077677,2026-05-26 05:57:26.755740,2026-05-26 06:27:56.833417
8,46.19112777709961,COMPLETE,240,0.07476124860663709,0.005,0.8767786413867986,0.9936174057122139,2.5595667662401584e-05,0.6057082007178674,4,1920,"128,128,64",0.8764134618319155,46.19112777709961,,0 days 00:30:14.417056,2026-05-26 06:27:56.845510,2026-05-26 06:58:11.262566
9,11.569259643554688,COMPLETE,240,0.19146572590510547,0.0001,0.9729995146480361,0.9853175702164658,1.2648217822989424e-05,0.6222710129054186,6,960,"128,128",0.7904461381963144,11.569259643554688,,0 days 00:35:13.505887,2026-05-26 06:58:11.270065,2026-05-26 07:33:24.775952
10,90.14512634277344,COMPLETE,160,0.168139989429038,0.005,0.9631108960219793,0.9929480989140594,0.00047765058845430225,0.6783913119499625,12,1920,"64,64",0.35221051333368114,90.14512634277344,,0 days 00:30:18.246922,2026-05-26 07:33:24.782774,2026-05-26 08:03:43.029696
11,15.635294914245605,PRUNED,160,0.13595780910449312,0.005,0.954586519674384,0.9929305423265669,0.00023856164755287263,0.6320026538673765,11,1920,"128,128,64",0.4502093271708735,,,0 days 00:03:01.866168,2026-05-26 08:03:43.036917,2026-05-26 08:06:44.903085
12,85.15692901611328,COMPLETE,80,0.19058623796830226,0.02,0.913396789216113,0.9854991574339034,0.000386041829417842,0.5695406987532028,15,1920,"64,64",0.6909265851094979,85.15692901611328,,0 days 00:30:06.913733,2026-05-26 08:06:44.910954,2026-05-26 08:36:51.824687
13,86.85997772216797,COMPLETE,240,0.17259716738670391,0.005,0.9734656341278952,0.984920558552424,0.000373072404964519,0.9436552338499951,14,1920,"64,64",0.275798235278085,86.85997772216797,,0 days 00:29:30.353644,2026-05-26 08:36:51.832031,2026-05-26 09:06:22.185675
14,16.050418853759766,PRUNED,80,0.22838197447893024,0.005,0.9793147333112354,0.9869235031115959,7.244819756112673e-05,0.47306255518298346,13,480,"64,64",0.3226818218144926,,,0 days 00:07:14.131361,2026-05-26 09:06:22.222500,2026-05-26 09:13:36.353861
