metric,mean,std,min,median,max
TBR_II,1.0895660320290184,2.4530665234973466,0.0311492629215111,0.3092509006169562,8.03014553014553
TBR_I,4.195173678906855,3.9724351164807183,1.3833961202382254,3.206026708337336,14.994802494802496
TIR,84.24261651595558,15.818205571876186,43.21725571725572,88.75134255393274,98.48764322448534
TAR_I,11.562209805137577,11.93200489597215,0.1289606552764447,8.214563640868993,41.78794178794179
TAR_II,2.4947026669282484,7.627288831841175,0.0,0.0081529493294199,24.194386694386694
total_daily_insulin,0.0,0.0,0.0,0.0,0.0
average_insulin,,,,,
TBR_II_episode_mean,1.0895703175058267,2.4530653247847116,0.0311488116366165,0.30925090061695626,8.03014553014553
TBR_I_episode_mean,4.1951869725886315,3.9724288131599748,1.3833961202382254,3.206018957453678,14.994802494802496
TIR_episode_mean,84.24260142295853,15.818199704320174,43.21725571725572,88.7513248086066,98.48764322448532
TAR_I_episode_mean,11.562211604452852,11.932006802536135,0.1289606552764447,8.214563640868995,41.78794178794179
TAR_II_episode_mean,2.4947005441887917,7.6272894034342515,0.0,0.0081529493294199,24.194386694386697
total_daily_insulin_episode_mean,0.0,0.0,0.0,0.0,0.0
average_insulin_episode_mean,,,,,
critical_failure_rate,20.886666666666667,28.622274844672123,4.333333333333334,11.166666666666666,99.2
mean_reward,390.2434593696594,92.39771629354063,133.0851308441162,419.72622821807863,439.8223702367147
