iteration,mean_reward
0,-4476.5680392
1,-2898.474061666667
2,-2601.4168603333333
3,-3135.617502466667
4,-7000.074750999999
5,-2988.7344735333327
6,-2141.4860877333335
7,-2503.5247263333335
8,-4523.4461842
9,-16712.19600673333
10,-2578.837929266667
11,-2647.2457293999996
12,-2194.5862727333338
13,-1073.1092813333332
14,-6150.374735
15,-4335.297267333333
16,-5058.156637000001
17,-2019.6300388000002
