iteration,mean_reward
0,-2165.019624
1,-2179.4390972
2,-3818.2159937999995
3,-6598.401015466666
4,-1063.3597596666666
5,-6371.773282666666
6,-8265.605450666668
7,-227.71396726666666
8,-11542.719149599998
9,-7076.329287733333
10,-4610.778694199999
11,-9254.513442866668
12,-11376.7691376
13,-8640.5945828
14,-3961.3347835333334
15,-10530.098539733333
16,-9978.362061
17,-6482.721671599999
