episode,timestep,reward,episode_length
0,58,48.444252014160156,58
1,106,35.734954833984375,48
2,151,39.99386978149414,45
3,192,33.78240203857422,41
4,240,37.388160705566406,48
5,296,46.12158203125,56
6,343,41.35580062866211,47
7,390,35.52174377441406,47
8,433,36.638206481933594,43
9,474,33.750526428222656,41
10,524,43.3277587890625,50
11,566,34.121395111083984,42
12,614,39.40673828125,48
13,664,40.87967300415039,50
14,709,39.014495849609375,45
15,747,30.111291885375977,38
16,799,43.93290328979492,52
17,850,41.264862060546875,51
18,896,37.82484436035156,46
19,940,37.240577697753906,44
20,982,35.229331970214844,42
21,1029,39.549869537353516,47
22,1078,35.61117935180664,49
23,1127,42.28132247924805,49
24,1167,32.79019546508789,40
25,1213,36.31523895263672,46
26,1256,33.48040008544922,43
27,1302,39.73200607299805,46
28,1357,47.00608444213867,55
29,1404,41.35860061645508,47
30,1452,40.242069244384766,48
31,1501,39.298038482666016,49
32,1550,42.27804946899414,49
33,1594,34.96741485595703,44
34,1651,44.552371978759766,57
35,1695,35.38199234008789,44
36,1737,34.68737030029297,42
37,1783,38.37604522705078,46
38,1847,49.240806579589844,64
39,1892,35.961387634277344,45
40,1939,36.01823043823242,47
41,1983,34.468746185302734,44
42,2033,42.077980041503906,50
43,2085,44.746124267578125,52
44,2126,30.713077545166016,41
45,2178,44.39582061767578,52
46,2222,33.51856994628906,44
47,2270,39.45136260986328,48
48,2306,29.837005615234375,36
49,2352,35.865089416503906,46
50,2411,51.598995208740234,59
51,2465,47.48943328857422,54
52,2508,33.040706634521484,43
53,2558,39.21763610839844,50
54,2609,39.21217346191406,51
55,2654,38.77174758911133,45
56,2707,45.27858352661133,53
57,2745,33.06265640258789,38
58,2795,39.9877815246582,50
59,2838,36.02309036254883,43
60,2886,37.516719818115234,48
61,2939,36.68927764892578,53
62,2988,40.47942352294922,49
63,3037,42.684993743896484,49
64,3084,36.3021354675293,47
65,3130,37.33765411376953,46
66,3174,37.5676383972168,44
67,3222,40.709373474121094,48
68,3266,37.4272575378418,44
69,3313,39.00458526611328,47
70,3360,40.87743377685547,47
71,3410,41.36071014404297,50
72,3449,29.985370635986328,39
73,3497,42.5625,48
74,3557,43.56681442260742,60
75,3605,41.6170539855957,48
76,3649,35.1296501159668,44
77,3685,28.0521183013916,36
78,3727,32.00468826293945,42
79,3773,39.8358154296875,46
80,3822,36.83422088623047,49
81,3863,32.13161849975586,41
82,3913,38.53992462158203,50
83,3962,40.79396438598633,49
84,4005,35.96442413330078,43
85,4051,35.208309173583984,46
86,4099,38.860042572021484,48
87,4143,34.46544647216797,44
88,4192,41.089683532714844,49
89,4249,43.589698791503906,57
90,4294,35.504127502441406,45
91,4344,41.915794372558594,50
92,4390,38.87251281738281,46
93,4433,34.32731246948242,43
94,4479,34.60578536987305,46
95,4518,33.567386627197266,39
96,4571,41.50559997558594,53
97,4611,31.982532501220703,40
98,4662,40.377681732177734,51
99,4711,39.0458984375,49
100,4760,37.29288101196289,49
101,4812,46.67893981933594,52
