iteration,mean_reward
0,-4185.09113572
1,-19335.309779440002
2,-3769.8901363999994
3,-8778.039374799999
4,-8033.107386
5,-3389.7151154399994
6,-1031.226203
7,-3391.86748812
8,-2518.66769424
9,-1867.65550576
10,-21799.96870044
11,-2068.04957496
12,-1846.48974104
13,-1506.70425212
14,-1598.1513166400002
15,-20725.04856204
16,-1452.9914358
17,-3157.61590452
18,-22028.455011280003
19,-4458.42811316
20,-2266.2773836399997
21,-2516.8655966
22,-21242.66779784
23,-1893.1532424000002
24,-1510.3185379999998
25,-1482.82877972
26,-4309.3826354
27,-7832.291259279999
28,-2208.00965248
29,-1710.1289197600001
