iteration,mean_gm_loss,mean_fidelity,mean_perf_gap
0,0.0,0.0,0.11733835190534592
1,0.023140128146437743,0.004435408394783735,0.12072519212961197
2,0.040665605847238835,0.013619749806821346,0.12141864001750946
3,0.03345320424654597,0.009600193239748478,0.11657232791185379
4,0.031041828777618276,0.007885987870395184,0.12219079583883286
5,0.037060985431136055,0.01152697391808033,0.11915674060583115
6,0.03407375196393994,0.00923745147883892,0.12568624317646027
7,0.03507267337842469,0.01039708498865366,0.11831127852201462
8,0.030027758667080115,0.007557717617601156,0.11930404603481293
9,0.020525718633385526,0.00362287275493145,0.11629034578800201
